Date Time, PID, Executable, Window Title, Status
18-09-2025 10:55,22044, msedge.exe, Instagram, Success
18-09-2025 10:55,588, Discord.exe, Friends - Discord, Success
18-09-2025 10:55,2684, opera.exe, GX Corner - Opera, Success
18-09-2025 11:29,11520, msedge.exe, Instagram, Success
18-09-2025 11:30,15572, msedge.exe, Instagram, Success
2025-09-18 11:31:48.689095, 10988, msedge.exe, Instagram, Success
2025-09-18 11:57:07.859585, 15656, msedge.exe, Instagram, Success
2025-09-18 11:57:39.913450, 9928, msedge.exe, Instagram - (6) Instagram, Success
2025-09-18 16:45:01.291922, 2792, msedge.exe, Instagram - (8) Instagram, Success
2025-09-18 16:45:12.318744, 20160, msedge.exe, Instagram, Success
2025-09-18 20:11:07.558866, 9172, msedge.exe, Instagram, Success
2025-09-18 21:41:18.176959, 9328, Discord.exe,  - Discord, Success
2025-09-18 21:43:31.294444, 14132, opera.exe, GX Corner - Opera, Success
2025-09-19 00:17:02.609156, 24532, steamwebhelper.exe, Steam, Success
2025-09-19 00:17:16.637829, 27320, steamwebhelper.exe, Steam, Success
2025-09-19 21:05:52.954862, 23724, opera.exe, GX Corner - Opera, Success
2025-09-20 04:15:11.111060, 21388, Discord.exe, #minecraft-chat | Dark street boiz - Discord, Success
2025-09-20 18:17:31.997106, 6216, opera.exe, GX Corner - Opera, Success
2025-09-20 19:56:21.266276, 13776, opera.exe, GX Corner - Opera, Success
2025-09-20 20:51:40.503698, 27528, msedge.exe, Instagram, Success
2025-09-21 01:54:34.769792, 11212, opera.exe, GX Corner - Opera, Success
2025-09-21 11:49:12.697414, 3168, opera.exe, GX Corner - Opera, Success
2025-09-21 11:49:31.734038, 27012, Discord.exe, #notes-resources | IGCSE Exam Preparations - Discord, Success
2025-09-21 11:52:54.096058, 8188, Discord.exe, #notes-resources | IGCSE Exam Preparations - Discord, Success
2025-09-21 19:45:46.585055, 25032, Discord.exe, Friends - Discord, Success
2025-09-21 19:45:56.599067, 13452, opera.exe, GX Corner - Opera, Success
2025-09-21 22:55:46.204321, 15336, opera.exe, GX Corner - Opera, Success
2025-09-23 18:41:50.823420, 13092, shift.exe, Instagram - Shift Browser, Success
2025-09-23 18:42:04.992017, 7156, shift.exe, Instagram - Shift Browser, Success
2025-09-23 18:42:08.997700, 3656, shift.exe, Instagram - Shift Browser, Success
2025-09-25 17:54:50.787600, 6796, opera.exe, GX Corner - Opera, Success
2025-09-25 22:15:42.864455, 26332, steamwebhelper.exe, Steam, Success
2025-09-25 22:15:49.873342, 3176, steamwebhelper.exe, Steam, Success
2025-09-25 22:16:29.912736, 11084, opera.exe, GX Corner - Opera, Success
2025-09-26 23:05:29.209244, 15624, opera.exe, GX Corner - Opera, Success
2025-09-27 21:17:22.450526, 26136, opera.exe, GX Corner - Opera, Success
2025-09-28 01:41:59.828679, 14476, opera.exe, GX Corner - Opera, Success
2025-09-28 20:56:22.201777, 9884, opera.exe, GX Corner - Opera, Success
2025-09-30 18:16:08.831773, 21976, opera.exe, GX Corner - Opera, Success
